actor_entropy,actor_loss,actor_target_entropy,alpha_loss,alpha_value,batch_reward,critic_loss,duration,episode,episode_reward,step
1.3829040306337763,-0.9279274711113298,-4.0,0.5288834087969212,0.09825298927556803,0.5021222561326785,0.21429016625278452,6.849364280700684,14.0,285.9039974544773,5356
1.3858625830756124,-1.3725602257680822,-4.0,0.3546956107198035,0.06585722209401008,0.48017093690954765,1.4020468240663657,169.55037474632263,15.0,424.65761702666344,14163
1.3860532530244731,-1.333371534101661,-4.0,0.19692087211879608,0.036561266201688654,0.49807077384740944,1.4125030446170257,70.74802708625793,16.0,4513.050857812026,17809
1.3860881167695496,-1.174962036072593,-4.0,0.08296420957004993,0.015403439066466513,0.4184861151235018,0.9269085828695907,343.86136269569397,17.0,1481.2999220631239,35451
1.3861565885712224,-1.1210650004197231,-4.0,0.026615514285294652,0.004941469066716617,0.4022772530525498,0.778879558746478,105.41899180412292,18.0,5256.397421596605,40831
1.386205018633247,-1.125541551516783,-4.0,0.01605947873941626,0.0029815954704166914,0.4093645549559332,0.800354291602241,114.45673561096191,19.0,2931.4493037659877,46643
1.3862359575692424,-1.118683371070235,-4.0,0.009716765228890189,0.0018039994722369216,0.40685764651968576,0.7799737186634552,103.96081280708313,20.0,2135.53689166067,51878
1.3862524328298553,-1.1148341673529167,-4.0,0.006774819295630323,0.001257798362117839,0.4045219177501767,0.7679549552975324,51.29095649719238,21.0,2106.330719611947,54450
1.3862639191423125,-1.1103024616177202,-4.0,0.005077408664565641,0.0009426587867421476,0.40179916950326333,0.753056887735138,77.10893630981445,22.0,836.0433687475186,58309
1.3862673810550146,-1.1129232873750288,-4.0,0.004018568442523344,0.0007460766681167379,0.4042516122639864,0.7559358246154168,24.135082483291626,23.0,1568.8043178422129,59513
1.3862613705097218,-1.1146354450716227,-4.0,0.0036616931976728422,0.0006798209204099621,0.405831458485761,0.7617323618576425,16.855339288711548,24.0,625.482223026087,60357
1.3862580895174497,-1.1170625931049492,-4.0,0.0033752794377992874,0.000626646421410962,0.4068762536620265,0.7649458241200846,19.251641273498535,25.0,386.6109509521426,61313
1.3862582323608068,-1.1168192937937838,-4.0,0.003164728641320109,0.0005875560740116106,0.4085522315910962,0.769461497050304,9.277648687362671,26.0,479.3178389916772,61774
1.3862618871547019,-1.1997322590732296,-4.0,0.0006904929079850052,0.00012819521307605637,0.47151932019804577,0.9971315377540093,998.8174841403961,27.0,276.85802528921926,110741
